author,text,published_at,like_count
user_44,"Inilah Roy suryo bagaikan lalat tanpa kepala, ngomong asal ngomong saja merasa dirinya paling waras dan yg lain edan.",2025-05-29T15:20:47Z,0
user_45,Buletttt Ae omongan mu Sur Sur........koyok wong bakulan panci🤣🤣🤣🤣🤣,2025-05-29T15:03:47Z,0
user_46,"Klo publik figur, apalagi kepala negara, yg menjalankan amanat Rakyat, wajarlah Rakyat mau tau , dan hrs tau pemimpin nya adalah org yg berpendidikan dgn bukti tanda lulus nya...",2025-05-29T13:27:13Z,0
user_47,"Klo dikisah pewayangan tanah jawa ini adalah sosok ( SENGKUNI ) yg memecah belah negara, tapi disini saya meyakini bahwa kebenaran akan tegak dan kebohongan dan kebodohan akan segera hancur kita lihat nanti cerita akhirnya bagaimana 🙏🤝",2025-05-29T12:44:17Z,0
user_48,"Untuk pak Karni Ilyas, selama mulai JLC lalu di ganti ILC apa yang di hasilkan??...",2025-05-29T10:48:47Z,0
user_48,"Roy, rismon, tifa, dll, merekalah  yang ijazah palsu, kenapa? Negara tidak membutuhkan, roy sempat jadi menpan (maksudnya menteri panci) tapi ga lama. Mereka ini adalah ODGJ, saya sarankan bawah mereka ke yayasan Pornomo belajar baik. Kalau mereka sembuh nanti di beri ijazah asli.",2025-05-29T10:46:02Z,0
user_49,Keren bung panda panda,2025-05-29T10:05:48Z,0
user_50,roy cs udh jd pengikut dajjal,2025-05-29T07:02:31Z,0
user_50,udah akhir jaman..fitnah2 dajal muncul,2025-05-29T07:01:54Z,0
user_51,"Negara Konoha ...bnyak penghianat ny dari pada penyelamat.....yg bohong GK tkut mati pa...tinggal nunjukin ijazah ny ko ribet amat sih ...muter""trs kaya Drakor otak""penjilat gwe msukin nekara modar ny biar tau rasa ajab Allah sangat pedih",2025-05-29T05:13:35Z,0
user_52,Cocote roy pocong wae,2025-05-29T04:30:11Z,0
user_53,UGM pengecut ga pernah mau datang setiap kali di undang mungkin sudah tau bersalah..UGM..Universitas Gank Mulyono.,2025-05-29T02:30:42Z,0
user_54,Sekali bohong akan membuat kebohongan lainnya untuk menutupi kebohongan awal. Parah....!!,2025-05-28T20:48:58Z,0
user_55,Ada yg lucu dari kejadian ini. Kenapa baru sekarang di perdebatkan?? Kenapa gak dari awal?? Setelah lengser jadi presiden 2 periode sekarang di perdebatkan. Mending pikirin nasib rakyat ini gimana. Disini saya gak pro sana sini,2025-05-28T19:29:02Z,0
user_56,"Sandiwara untuk pengalihan kasus
PAGAR LAUT !!",2025-05-28T18:41:10Z,0
user_57,Klo tidak ada kewajiban artinya hukum negara harus mewajibkan untuk menunjukan ijasdhnya secara paksa ......,2025-05-28T18:13:10Z,0
user_57,❤❤❤❤rakyat menyatakan ijasahnya pak jokowi palsu ❤❤❤❤,2025-05-28T18:11:31Z,0
user_58,Sylvester ingatkan ke jokowi  pak tunjukin aja ijazah asli nya kasian rakyat jadi gadu gara² ijazah Bpk tdk di kasih mlihat ke publik 😁,2025-05-28T16:53:59Z,0
user_59,"Roy u gila,,",2025-05-28T16:48:03Z,0
user_60,YANG BENAR ITU PASTI TIDAK PALSU,2025-05-28T16:32:06Z,0
user_61,"Amien gaca dong , pembohong mau sok suci, sudah pernah jilat ludah sdri dulu bilang mau jalan kaki ke solo mana  di tepati",2025-05-28T16:17:13Z,0
user_62,Preseden buruk krn nanti ketauan palsu,2025-05-28T15:59:41Z,1
user_63,"Maju terus bang Roy,,,,u membuktikan kebenaran ,,pasti banyak tantangan,,,",2025-05-28T15:17:58Z,1
user_64,Kalo ijasah nya asli beneran g usah muter2 tunjukan saja lalu laporkan yg menuduh palsu,2025-05-28T15:06:43Z,0
user_65,Mau Tanya Pak apakah jika menempuh pendidikan dari s1 sampai s3 tidak linier apakah bisa disebut Pakar???,2025-05-28T14:43:27Z,0
user_66,Mrsa mnusia ing bnar pling pinter itu roysuryo,2025-05-28T13:30:56Z,0
user_67,Si amin rais lain eling geus bau tanah,2025-05-28T13:09:08Z,0
user_68,"Di bawa ke polisian ga ada artinya bosss,,, semua petinggi polisi sampai kapolrinya satu kelompok satu geob,,, sadaelah berlaku jujur dan adillah",2025-05-28T11:47:23Z,0
user_68,"Negara kita tercinta indoneaia ini sudah tidak jujur lagi daei hati, siapa yang berduit dia akan berkuasa. Sadar lah wahai manusia, swmua itu cuma titipan dan nanti pasri akan dipertanggung jawabkan, sadarr,, sadarrr,,, sadar,,,",2025-05-28T11:17:35Z,0
user_69,Amin rais mkin gila,2025-05-28T09:01:50Z,0
user_70,Sudah telanjur basah dan kebangetan bohongnya akan terus bohong,2025-05-28T08:28:21Z,1
user_71,"Dusta & kebusukan apalagi yg ""mereka"" ingkari.. Semua tipudaya sdh nyata & jelas bagi semua mata, akal, nurani rakyat yg masih waras..",2025-05-28T05:30:55Z,0
user_23,Bravo roy suryo rismon dkk,2025-05-28T03:20:25Z,0
user_72,"Indonesian Lawyers !!!

JOKOWI was the trustee of ""Uang Sadakah Almarhum Seorang Raja  Kepada Keperluan Umat Islam Indonesia dan Pembangunan Negara Indonesia"" ...

Jokowi bikin Jalan Tol seluruh NKRI, rumah-rumah rakyat miskin (bukan semua provinsi) dan build/repair infrastruktur di provinsi yang dia pilih sendiri...

pembinaan IKN, Kereta Cepat dan XXXXXX tidak dibiaya sepenuhnya oleh Pemerintah (gaji tunjangan rumah dinas dan segala belanja para pejabat, PNS dan BUNM di IKN diurus Pemerintah)... 

IKN, Kereta Cepat dan XXXX diuruskan pembinaannya oleh foreign companies dan 
diberi hak tatakelola, kutip uang (tax charges, parking charges, maintenance, sewerage, gas etc) selama 150 tahun dan 50 tahun  ...

Pemerintah kena bayar electricity charges and water charges di IKN...

untuk withdraw uang sadakah yang disimpan di XXXX, JOKOWI perlu kasi bukti uang untuk apa... kegunaan uang itu musti dipersetujui oleh Menteri Kewangan, Sohibul Samaah dan XXXX... 

pastinya si maling bernama JOKOWI dan kuncunya gunakan pembinaan IKN dan Kereta Cepat sebagai alasan untuk ""swindle""....

Ibu Men Kewangan berbohong mengatakan ekonomi Indonesia meningkat pada first quarter dan second quarter tahun ini...


 jika Sri W juga berbohong pada rakyat  kayak Jokowi, maka pastinya mereka berdua partner-in-crime... 


uang sadakah itu lebih daripada USD 500mil untuk setiap negara... negara penerima adalah..

Bangladesh, Indonesia dan Malaysia",2025-05-28T03:00:12Z,2
user_73,Panjang umur perjuangan 🔥🔥🔥🔥🤲🤲,2025-05-27T19:38:06Z,0
user_74,Knapa pak jokowi ngomongnya pelan karna mulut pak jokowi gk sama dengan cangkemu roy,2025-05-27T18:32:49Z,0
user_75,Karena bapak tak punya Ijazah.asli.klw.punya pasti  di tunjukan. Penjabat yg lain pasti dgn bangga menunjukan krn Ijazah mereka asli dgn bangga kecuali Ijazah mereka palsu mereka tdk akan menunjukan,2025-05-27T18:25:36Z,0
user_76,Minta aja kpd yg penuduh,2025-05-27T16:43:41Z,0
user_77,amin rais congore gombal,2025-05-27T16:40:29Z,0
user_78,"❤❤❤❤❤masaallah bijak bapak martatoni ,bagus TDK ngotot  kelihatan orang baik  bijak ,,sehat sehat bapak",2025-05-27T16:34:02Z,0
user_79,Kok ILC ikut2an ngebahas isu murahan ini? Capek capek buang2 waktu dan energi.,2025-05-27T16:12:40Z,0
user_23,Kalo si wowie negarawan harus nya dia tunjukan itu ijazah..dia itu mantan presiden..dan sampai sekarang masih di gaji oleh duit rakyat..rakyat hanya perlu tunjukan doang dia gs mau..buseettt dah😂😂,2025-05-27T15:40:15Z,1
user_80,Emang sia0a menanam ya menuai,2025-05-27T15:39:53Z,0
user_80,Ya td ada wong semua td jujur td ada bukti,2025-05-27T15:39:05Z,0
user_80,Iya di byr ya ngeyel,2025-05-27T15:37:38Z,0
user_80,Rakyat udah td percoyo pda omongan jkwi,2025-05-27T15:32:08Z,0
user_80,Ya di buktikan saja bru bilang hoak,2025-05-27T15:31:16Z,0
user_80,Ternaknya yg sibuk di byr berapa,2025-05-27T15:29:42Z,0
user_80,Ijazahnya mna yg asli tunjukan jgn cuma omon omon,2025-05-27T15:28:52Z,0
user_80,Itu org td tau mna yg ahli mna yg bkan,2025-05-27T15:27:42Z,0
user_80,Itu mas roy ahlinya❤,2025-05-27T15:26:00Z,0
user_81,alumni universitas ruko kok ikut bicara?,2025-05-27T14:50:04Z,0
user_82,Terima kasih Bung Karni Semoga Ijazah menjadi kebanggaan segalahnya di Indonesia dikenal Semua Negara Dunia,2025-05-27T14:49:16Z,0
user_83,Roy suryo dan kawan2 sebentar lagi juga nangis di jeruji besi,2025-05-27T14:19:45Z,0
user_83,Si Roy Suryo mau nya apaan sih gak jelas ngaku akademisi tapi otak gak di pake keblinger,2025-05-27T14:17:29Z,0
user_84,"Ini ILC tujuan sebenarnya apa to, wong kaya gini kok di undang malah tambah memperkeruh aja, hadeh ILC ILC...",2025-05-27T14:07:52Z,0
user_85,Insya Allah bpk jokowi selalu sehat,2025-05-27T10:26:59Z,0
user_85,Roy suryo itu terlalu benci dg jokowi kenapa ya?,2025-05-27T10:24:30Z,0
user_86,Amin rais ini kenapa masih hidup???,2025-05-27T08:18:35Z,0
user_87,❤ 3 hal ❤,2025-05-27T07:59:36Z,0
user_88,kalo dia bukan mantan presiden juga ga akan bnyak yg pengen buktiin. ngapain juga anyink,2025-05-27T07:04:35Z,0
user_89,"roy panci itu suka bohong, salah sebut ""fakultas kedokteran"" saja dianalisa berapi api sebagai suatu kesalahan / kebohongan. Lain lagi ceritanya, ijasa yg sdh dianalisa itu sdh pasti palsu, ternyata ijasa yg dianalisa diambil dari YouTube ..... tapi koar2 nya sdh kemana mana ..... roy panci ini sdh tdk bisa di percaya ..... semuanya bohong n hoax kalau keluar dari mulut si roypanci ..... nanti masuk penjara baru nangissss ... nanti lihat saja si roypanci menangis 😮😮😮😮😮😮",2025-05-27T03:26:39Z,0
user_90,Fufufafa itu anak nya roy,2025-05-27T03:05:22Z,0
user_23,Maju terus bung roy suryo dkk,2025-05-27T02:52:06Z,1
user_91,Orang npd semakin di lawan semakin seger utk melawan,2025-05-27T01:37:14Z,0
user_92,Gatel gathel  jd pengacara  untuk pembenaran  membenarkan barang yg tdk benar . ASUUUUU KABEH  PEMBELA  MUKIDI,2025-05-26T21:39:36Z,0
user_93,1000M  PLASU.!,2025-05-26T18:58:30Z,0
user_94,"BADAN BESAR tp kosong... smakin bnyk ngomong smakin keliatan ilmunya, pengalamannya, wawasannya.",2025-05-26T18:31:11Z,0
user_95,Kolegan.nokowi..atau ternak Jokowi .mana mengerti .ilmu teknologi informasi.teknologi  sain,2025-05-26T18:19:33Z,0
user_96,Saya mau kasih info aja saya sebagai Rakyat biasa Bapak2 yg terhormat sekarang pengaguran semakin banyak remaja sekarang udah banyak bernarkoba sama judi slot udah bnyak keluarga jadi korban itu yg ada saat ini 🙏🙏🙏,2025-05-26T18:06:50Z,0
user_97,Pertanyaanya sy hanya 1 yaitu benarkah ada jurusan teknologi kayu?,2025-05-26T17:39:25Z,0
user_98,"Mencari dan membuktikan kesalahan Jokowi atau pun Prabowo akan begitu sulit. Sehingga yang bisa dilakukan oleh pihak ""oposan"" adalah pembunuhan karakter dengan jalan menyebar fitnah. Dan itu yang terjadi saat ini.",2025-05-26T17:21:09Z,0
user_99,Kualitas ugm di pertanyakan,2025-05-26T17:06:47Z,0
user_100,Silvester berbahaya dgn kepentingan mu KL rakyat mau dibuktikan ijazah aslinya enak aza kalian menikmati 10 tahun pasilitas dari rakyat kau Silvester sampah bagi kami yg rakyat biasa,2025-05-26T16:56:18Z,0
user_101,"Tunjukikan saja jgn byk ngomong pengscsrsnya saja hrslh kalau jokowi krn kasus ijazah palsunya sdh msksn korban ,sp th ada oknum ternsknya jokowi jg dsna",2025-05-26T16:52:48Z,0
user_102,PROF GINTING... BAGUS BANGET QUOTE NYA!!! KEREN!!!,2025-05-26T16:34:12Z,0
user_103,"Seandai saya di minta tunjukin izasah dan minta foto copy klau gak ada hal penting g sya kasih bang roy,dri mna ada tau asli palau kalau gak saya kasih tau simpelnya.",2025-05-26T15:51:34Z,0
user_104,"Se7 pak Roy, maju terus pak, biar gamblang, lamgkah bp sebagai pendukung memperjelas, yg punya saja anteng, padahal gampang dan sepele, remeh temeh..he,..he,..❤👍👍😁",2025-05-26T15:50:32Z,0
user_103,Klau gak ada kebencian dan hasut fitnah knp harus ngurusin izasah orang😭😭😭😭😭,2025-05-26T15:46:45Z,0
user_105,Kor2 kau.  Amin rais,2025-05-26T15:45:38Z,0
user_106,Surya itu contoh manusia yg ga pernah bercermin.,2025-05-26T15:05:07Z,0
user_107,ini sengkuni orang rakus almarhum gus dur amin rakus pembohong 😂😂😂😂😂 kenapa gak malu orang yang bernama rakus ini,2025-05-26T14:51:11Z,0
user_108,Amin Rais ketua Muhammadiyah tapi sifatnya kayaknya bukan sifatnya seorang muslim.,2025-05-26T14:02:41Z,0
user_109,"saya sngt senang dan puas klo Orang yg pertama masuk BUI itu si RS ini,,,muak liat nya klo udh ngomng lngsng sya skip lngsng ke omngn yg lain saya dengar kan,jijik bet liat si tuir ini koar,,moga2 msuk bui seumur HIDUP",2025-05-26T13:26:40Z,0
user_110,Kalau tidak ada apa apanya mengapa tidak mau mengeluarkan atau memperlihatkan aslinya. Rakyat hanya butuh aslinya.,2025-05-26T11:02:00Z,0
user_111,CABUT GELAR RS DI TAMATAN UGM..... TIDAK COCOK SEBAGAI ALUMNI UGM,2025-05-26T10:47:28Z,0
user_112,Mosok waktu jdi walikota di solo drs kok jdi presisident I.R( ingsiur) yg benar mn klihatan bohong mmg org suka nohong y tetep pembohong selalu,2025-05-26T07:12:17Z,0
user_112,"Ni pengacara bohong bohongan lihat ijasah nya asli krn pengacara bisa blg gitu tpi blum tentu tau asli/ palsu,kok ikut pembohong juga y pengacara rakyat gk percaya ngomong udh tau lihat di mata preeeet",2025-05-26T07:09:04Z,0
user_113,Ngpain nunjukin ijazah ke sampah2 😂 walau sudah tidak menjabat beliau tetap presidan RI ke 7,2025-05-26T05:51:32Z,0
user_114,"ygdiaturjokowijugadibohongilewatijasahjokowipal.........,su.",2025-05-26T05:49:53Z,0
user_115,Pintar juga roy panci ini ya. Ap,2025-05-26T05:46:20Z,0
